Model, Buckling, Stiffness 
sample171, 27449.7, 8375773.696
sample172, -18498.6, 5334299.136
sample173, -31370.8, 2759074.048
sample174, -29219.0, 9919583.232
sample175, 23137.3, 10313595.904
sample176, 19353.5, 6139100.672
sample177, -17915.0, 6791007.744
sample178, -22882.7, 12116698.112
sample179, -16615.7, 5210702.848
sample180, 28823.4, 1841153.28
sample181, 18018.8, 9007968.256
sample182, 29488.2, 6643886.08
sample183, -22011.6, 11267179.52
sample184, -20808.4, 6727897.088
sample185, -14395.2, 2293476.096
sample186, 35131.6, 5256487.424
sample187, 24234.9, 4643363.84
sample188, 32643.8, 8369736.704
sample189, -13762.4, 5704211.456
sample190, 31044.4, 9904254.976
sample191, 23145.1, 8437205.504
sample192, -18958.0, 11587337.216
sample193, -14195.2, 6860432.384
sample194, -17626.9, 9352587.264
sample195, -32772.2, 8985216.0
sample196, -26300.5, 11257539.584
sample197, -34438.7, 7654520.832
sample198, 21896.9, 9224175.616
sample199, -23744.3, 9375519.744
sample200, -12739.1, 3505215.744
sample201, -22535.3, 10984231.936
sample202, 34913.6, 6118140.928
sample203, 20494.3, 12172802.048
sample204, 22166.6, 8679398.4
sample205, 21711.4, 1768310.144
sample206, 30230.2, 2264816.896
sample207, -22548.6, 8140069.376
sample208, -23233.3, 9622816.768
sample209, -23741.2, 7276217.856
sample210, 14400.5, 7391641.6
sample211, 22753.2, 6069458.432
sample212, 15379.8, 4471970.304
sample213, -17774.6, 10024904.704
sample214, -10686.0, 2478201.088
sample215, -13545.5, 7122849.28
sample216, 22778.8, 7788819.456
sample217, -14823.8, 5342372.864
sample218, 15507.1, 2430454.528
sample219, 11851.5, 3034822.4
sample220, 30739.3, 2485395.968
sample221, 26700.0, 10503455.744
sample222, 28257.7, 6104903.168
sample223, 37746.0, 5434424.32
sample224, -14116.5, 4906307.584
sample225, 22760.2, 11771553.792
sample226, -19676.1, 11320180.736
sample227, -14810.6, 5129620.48
sample228, 26334.4, 7098843.648
sample229, 22714.5, 8832449.536
sample230, 18660.0, 8149369.344
sample231, -10938.6, 2950745.344
sample232, -17055.8, 10276224.0
sample233, 20247.3, 12106110.976
sample234, -25770.4, 7006139.904
sample235, 31984.1, 3578764.8
sample236, -34338.6, 5618891.264
sample237, 22049.7, 6619101.696
sample238, -26361.2, 7741946.368
sample239, 34001.1, 5842926.08
sample240, -23689.5, 10843331.584
sample241, 14394.0, 6750882.304
sample242, -30800.5, 8233703.936
sample243, 20087.9, 8194541.568
sample244, 14773.2, 7471936.512
sample245, 20169.7, 7649429.504
sample246, 14623.6, 2277947.136
sample247, -30573.0, 8651713.536
sample248, 22945.2, 7780464.128
sample249, -35164.4, 5464541.184
sample250, 14909.3, 6574680.576
sample251, 17601.0, 6540849.664
sample252, -30521.5, 2295854.08
sample253, -33120.8, 6732588.544
sample254, 22825.1, 5454021.632
sample255, -13557.2, 7792539.648
sample256, -15324.7, 6165160.448
sample257, -19262.4, 12522353.664
sample258, 22731.7, 2945789.44
sample259, 30579.5, 6949243.392
sample260, 27147.3, 8809667.584
sample261, 16651.6, 8015352.32
sample262, -33931.8, 7046654.464
sample263, 30833.4, 2777018.112
sample264, 14084.1, 5374265.856
sample265, 23508.4, 2491849.728
sample266, 13793.7, 2016837.632
sample267, -15705.5, 7417766.912
sample268, 22045.7, 6515111.936
sample269, 32787.6, 5384008.192
sample270, -21582.4, 9599427.584
sample271, -27444.1, 5667809.792
sample272, 14545.6, 6771833.344
sample273, -17541.7, 3655283.968
sample274, -35462.8, 3948257.536
sample275, -34979.0, 5915598.336
sample276, -33366.7, 3931492.096
sample277, 11591.5, 3639664.64
sample278, -31798.1, 8711040.0
sample279, -28466.0, 7341964.8
sample280, -21332.3, 7066831.872
sample281, -13534.2, 7209777.664
sample282, -15175.0, 2987463.68
sample283, -17286.6, 6294332.416
sample284, -36457.2, 6440258.56
sample285, 14058.6, 6484887.04
sample286, 15636.4, 5389414.912
sample287, -28014.7, 8476635.136
sample288, -21484.6, 8147879.424
sample289, -30832.1, 6205774.848
sample290, -25115.4, 9325044.736
sample291, 14938.2, 4505520.64
sample292, 17952.2, 10399875.072
sample293, -14450.3, 8778186.752
sample294, -19636.7, 8447498.752
sample295, -18025.5, 9991954.432
sample296, 15353.6, 5009730.048
sample297, 27062.2, 11173319.68
sample298, 34449.7, 5427521.536
sample299, -31688.9, 3183155.2
sample300, 13292.5, 4543151.616
sample301, -16612.7, 6562334.208
sample302, 16115.4, 5464707.072
sample303, 15124.4, 6368194.56
sample304, -15563.1, 7669375.488
sample305, -27917.2, 6814811.136
sample306, -9972.57, 1949291.136
sample307, -14162.8, 4131911.424
sample308, -14344.3, 6674726.912
sample309, 22215.0, 1815086.08
sample310, 26613.3, 9795991.552
sample311, -34674.8, 7798008.832
sample312, 19262.3, 11243096.064
sample313, -27048.2, 5447855.104
sample314, -17009.8, 6849621.504
sample315, -17951.0, 11149957.12
sample316, 14553.1, 4954805.248
sample317, 26137.8, 11594169.344
sample318, -27865.5, 7320252.928
sample319, 14604.6, 2603957.76
sample320, 16110.2, 3122897.92
sample321, -23636.7, 5216850.944
sample322, 28459.4, 5929397.248
sample323, 14484.6, 2169350.912
sample324, -24968.7, 10163520.512
sample325, -21322.1, 8929335.296
sample326, -16288.0, 9277071.36
sample327, -28573.1, 1794876.544
sample328, -14821.0, 7907713.536
sample329, 22432.7, 2822650.112
sample330, -16907.4, 11471285.248
sample331, 15991.7, 10293896.192
sample332, -17999.5, 4437349.888
sample333, 21096.1, 8097221.632
sample334, 28961.1, 8847944.704
sample335, -32787.7, 5233182.208
sample336, 33747.4, 5965727.744
sample337, -25945.7, 4372816.384
sample338, 25714.9, 7482563.072
sample339, 17204.3, 11125807.104
sample340, -34469.3, 6110483.456
sample341, -17797.6, 5383982.592
sample342, 20587.0, 10591273.984
sample343, -20389.4, 10976823.296
sample344, -20068.8, 8274836.48
sample345, -29085.3, 7171688.448
sample346, 20346.2, 8637149.184
sample347, 13711.1, 6975489.024
sample348, 31595.5, 7234451.456
sample349, -15122.2, 5988162.048
sample350, -14215.2, 7254680.576
sample351, 22532.3, 11570504.704
sample352, -19313.8, 11405289.472
sample353, 23990.7, 10124241.92
sample354, -20041.7, 7442342.912
sample355, -17067.1, 9600648.192
sample356, 19466.3, 11033085.952
sample357, -21574.9, 10577597.44
sample358, -25205.0, 9899328.512
sample359, 23808.8, 3258339.84
sample360, 18125.7, 4550860.288
sample361, -19854.0, 11335632.896
sample362, -22051.8, 6116941.312
sample363, 22102.8, 7673255.936
sample364, -26046.3, 10659057.664
sample365, -21914.2, 4425192.96
sample366, 13740.3, 1792152.32
sample367, -29022.0, 7327404.544
sample368, 14834.5, 8230588.416
sample369, 25355.6, 4952332.8
sample370, 13375.7, 6080912.384
sample371, 24650.8, 9085515.776
sample372, -23280.8, 3258198.784
sample373, -34917.3, 6629365.248
sample374, 29774.0, 2021409.152
sample375, -14856.9, 3822265.344
sample376, -27669.1, 5865930.752
sample377, 27964.6, 8988855.296
sample378, -31876.0, 7152849.92
sample379, 22707.6, 7241513.472
sample380, 18741.7, 10695571.456
sample381, -18247.4, 11396342.784
sample382, -16283.7, 4795816.448
sample383, 28515.9, 9414170.624
sample384, -18916.7, 11912517.632
sample385, 30311.0, 2544375.296
sample386, 30130.2, 9710568.448
sample387, -31845.1, 5110457.856
sample388, 30151.8, 2390169.6
sample389, -18740.9, 6163960.32
sample390, 16012.2, 7766919.68
sample391, -19802.2, 9290106.88
sample392, -19452.9, 12140361.728
sample393, -23868.4, 5100816.896
sample394, 31614.0, 5932546.048
sample395, -22130.9, 6870158.848
sample396, -14526.4, 8268198.912
sample397, 33127.1, 7473455.616
sample398, 27702.6, 10468578.304
sample399, 20438.1, 6380209.664
sample400, 18202.7, 5787083.776
sample401, -21455.3, 5551676.928
sample402, -16645.5, 5637463.552
sample403, -27934.4, 5327744.0
sample404, 34569.6, 4819212.8
sample405, -12870.8, 4208212.224
sample406, 21955.4, 7728437.248
sample407, 22590.1, 4841874.432
sample408, 14699.3, 5059432.96
sample409, 23359.3, 4294843.392
sample410, -21279.9, 9727206.4
sample411, 28342.4, 8989484.032
sample412, -30664.1, 7456836.608
sample413, -23205.5, 3940045.568
sample414, 22670.5, 8249930.752
sample415, 14072.9, 7273290.752
sample416, -13777.0, 1736611.2
sample417, -31690.0, 3150196.736
sample418, -16584.5, 4166533.376
sample419, 10979.7, 2672717.056
sample420, 26323.7, 7269142.528
sample421, 33985.7, 5273377.792
sample422, -20900.5, 11429542.912
sample423, -26617.7, 5183416.32
sample424, 21750.3, 11566453.76
sample425, 19070.2, 8680655.872
sample426, 22557.3, 6715503.104
sample427, 22458.7, 9827850.24
sample428, -33558.6, 3680308.736
sample429, -14830.6, 2464354.816
sample430, -21864.1, 8128000.0
sample431, 32032.3, 2916053.248
sample432, -13119.6, 4241972.48
sample433, -23753.2, 5529254.4
sample434, 21127.8, 7829943.808
sample435, -17123.8, 10697220.096
sample436, -18380.8, 9923090.432
sample437, 33904.0, 8159574.016
sample438, 21373.7, 11307370.496
sample439, 14424.1, 7689042.432
sample440, -18383.1, 7289614.848
sample441, -13132.5, 4807231.488
sample442, -35001.4, 3445523.2
sample443, 28336.6, 1757760.768
sample444, -19386.6, 11289612.288
sample445, -15600.7, 7409966.592
sample446, -17873.8, 6258813.952
sample447, 32806.9, 5590285.312
sample448, -12626.8, 3354054.4
sample449, -33750.0, 5941292.032
sample450, -16775.0, 6175428.608
sample451, 28481.7, 7885236.224
sample452, -32911.4, 5260281.344
sample453, 21943.2, 8972182.528
sample454, 33808.3, 8435641.856
sample455, 21668.9, 11351974.912
sample456, 15399.2, 4736950.784
sample457, -12430.2, 4179466.752
sample458, 34447.6, 4706858.496
sample459, -24434.8, 3707873.28
sample460, -19930.9, 7583170.048
sample461, -12075.9, 3637844.736
sample462, 31552.1, 9891945.472
sample463, -16009.6, 8226676.736
sample464, 22553.5, 9094158.336
sample465, 13090.8, 5348953.088
sample466, -14616.2, 2761355.52
sample467, -15743.2, 2492681.728
sample468, -20927.9, 11300996.096
sample469, 25819.2, 5126930.432
sample470, 30731.1, 9467933.696
sample471, 20077.6, 11791158.272
sample472, -25554.8, 9443203.072
sample473, -11477.2, 2688533.248
sample474, -30215.6, 9429390.336
sample475, 18962.8, 5661017.088
sample476, -13690.0, 4113996.032
sample477, -20556.5, 11144380.416
sample478, -19729.3, 8120376.832
sample479, 31534.5, 9392075.776
sample480, 29597.9, 7252666.88
sample481, 31405.9, 2743160.064
sample482, 36817.0, 6196212.736
sample483, -29132.2, 5962071.552
sample484, 25761.5, 11072150.528
sample485, -10120.5, 2082565.504
sample486, -23408.1, 7767737.856
sample487, -33237.6, 7766732.8
sample488, -25366.1, 5516923.904
sample489, -21453.4, 7380588.544
sample490, -23422.3, 2629872.384
sample491, -14927.8, 2537726.976
sample492, 23165.5, 2594830.592
sample493, 25819.9, 11456520.192
sample494, 19411.3, 8899198.976
sample495, -22752.9, 9582198.784
sample496, -31309.8, 3766645.248
sample497, 20980.8, 9324735.488
sample498, -10551.0, 2604820.992
sample499, -30945.7, 8926276.608
sample500, 17644.8, 6910755.84
sample501, -23082.8, 10420795.392
sample502, 22515.9, 5120117.76
sample503, 22284.3, 7734025.216
sample504, -30820.1, 8370672.64
sample505, 22291.9, 6896814.592
sample506, -19812.5, 11196103.68
sample507, -13199.6, 6236661.248
sample508, -15623.6, 2563468.288
sample509, 21508.3, 7633329.664
sample510, -26012.6, 11565010.944
sample511, -12769.9, 5156199.424
sample512, 33818.6, 6637614.08
sample513, 19861.5, 11055029.248
sample514, -20347.0, 6268965.888
sample515, 19628.8, 6819996.16
sample516, 35906.7, 6303670.272
sample517, -10147.1, 2284904.448
sample518, 18140.4, 6383449.088
sample519, 22416.5, 6989847.04
sample520, -25045.7, 6189228.544
sample521, 14419.3, 5103894.016
sample522, 34230.1, 7973489.152
sample523, -21970.5, 8015075.328
sample524, -33643.6, 7596848.64
sample525, -24719.3, 4505803.264
sample526, -33496.5, 3960572.16
sample527, -16827.2, 9085056.0
sample528, -21852.5, 10895677.44
sample529, 24016.9, 6739371.008
sample530, -29137.4, 7325659.648
sample531, -28321.4, 7081815.04
sample532, -32726.7, 8162196.48
sample533, -35689.6, 6506865.664
sample534, 28318.5, 6514199.04
sample535, 16285.4, 5882662.4
sample536, 13910.7, 4805280.768
sample537, -16936.7, 5462025.728
sample538, -12816.7, 4671216.128
sample539, -20457.6, 11589994.496
sample540, -33556.6, 8031346.176
sample541, 27934.6, 5532071.936
sample542, 25163.6, 7705227.776
sample543, -17337.8, 3484750.336
sample544, -12294.5, 4932076.544
sample545, 18884.6, 8252209.664
sample546, 21432.9, 8889218.048
sample547, 22477.6, 8770536.448
sample548, -21509.3, 10248497.152
sample549, -22209.2, 6178735.616
sample550, -32342.5, 4190773.76
sample551, -26026.8, 7265846.784
sample552, -33339.9, 4440280.064
sample553, 11560.2, 3889869.824
sample554, -33628.9, 4221645.824
sample555, 13564.0, 7206706.176
sample556, -16290.9, 6051584.0
sample557, 32417.5, 5607120.896
sample558, 24621.5, 10312803.328
sample559, -14534.6, 8367186.944
sample560, 15713.5, 8691171.328
sample561, 31663.4, 3097228.8
sample562, 22587.4, 6959712.256
sample563, 17167.6, 9391097.856
sample564, 19033.6, 7747707.392
sample565, 17410.8, 5619840.512
sample566, -32764.3, 4967068.16
sample567, -28868.9, 9603037.184
sample568, -35980.2, 6283893.248
sample569, 15170.7, 3654944.512
sample570, -29866.9, 6753949.184
sample571, -35462.1, 6186549.248
sample572, -29301.7, 7167244.8
sample573, -23072.4, 8447777.792
sample574, -15643.8, 4996295.168
sample575, 22423.2, 6178286.08
sample576, 26124.4, 9184107.52
sample577, 22151.5, 2277697.024
sample578, -10809.5, 2492242.688
sample579, -30361.2, 7626561.024
sample580, -21237.9, 12072754.176
sample581, -22138.3, 11552038.912
sample582, -19338.9, 5484583.936
sample583, 18826.0, 6333992.96
sample584, 17338.6, 6404537.856
sample585, -16149.5, 4441462.272
sample586, 20665.8, 8605377.536
sample587, -14282.2, 2235371.264
sample588, -17022.2, 6479859.2
sample589, 33720.6, 6723913.728
sample590, 15606.9, 8858304.512
sample591, 19675.1, 10828703.744
sample592, -21805.1, 1759146.752
sample593, 33084.6, 7043470.336
sample594, 16225.5, 5157982.72
sample595, 23035.6, 10271628.288
sample596, -16756.2, 9971318.784
sample597, 24362.6, 3250577.408
sample598, 25043.6, 11482428.416
sample599, -11654.7, 3101363.712
sample600, 16994.9, 11343907.84
sample601, 27197.7, 5202198.528
sample602, 14653.7, 2866343.168
sample603, 14392.1, 7500291.584
sample604, -22244.6, 7986965.504
sample605, -21073.1, 11357157.376
sample606, 35553.0, 6535122.944
sample607, -14287.5, 7365200.384
sample608, -15017.1, 8010637.312
sample609, -28653.3, 11304923.136
sample610, -19241.7, 9353049.088
sample611, 14579.5, 8937996.288
sample612, -14714.2, 5741442.56
sample613, 31966.1, 8216049.664
sample614, 23006.8, 5682710.528
sample615, -25387.7, 11773921.28
sample616, -22995.3, 7720278.016
sample617, -29516.4, 8692678.656
sample618, -26175.0, 5709198.848
sample619, -25269.6, 7632193.536
sample620, 15714.3, 2924658.688
sample621, -14010.7, 7319705.088
sample622, -16373.6, 9236674.56
sample623, 16424.1, 8781079.552
sample624, 20492.6, 9149783.04
sample625, 22664.5, 3727739.648
sample626, 32836.0, 4786790.4
sample627, -15908.3, 8641931.264
sample628, -31378.9, 7345249.28
sample629, -18445.0, 7071903.744
sample630, -21649.0, 1685922.56
sample631, 21238.8, 10423916.544
sample632, 33532.6, 5187085.824
sample633, 14139.3, 2229484.544
sample634, -10991.1, 2793785.856
sample635, -28042.4, 10328518.656
sample636, 29301.6, 6921242.112
sample637, -16572.6, 5225991.168
sample638, 18779.7, 5733480.96
sample639, -21027.9, 11593646.08
sample640, 23511.1, 7312447.488
sample641, 13444.7, 7442196.992
sample642, 28373.0, 7590190.08
sample643, -14413.4, 2290961.92
sample644, 28751.6, 1891028.864
sample645, -24020.4, 9499635.712
sample646, 22594.3, 7762605.568
sample647, -18573.2, 11502728.192
sample648, -14674.6, 7075669.504
sample649, 19585.9, 8711303.168
sample650, 15641.6, 2488783.104
sample651, 16072.8, 8068171.776
sample652, 16501.5, 4154970.112
sample653, 9549.74, 1804795.776
sample654, 30864.4, 9807591.424
sample655, 17503.8, 11197299.712
sample656, 23893.2, 6327144.448
sample657, 16633.9, 8501057.024
sample658, -31738.5, 5835277.824
sample659, 9457.03, 1766206.976
sample660, 16112.7, 7120050.176
sample661, -18623.0, 4579377.152
sample662, 13140.1, 3567194.624
sample663, 17873.1, 10106403.84
sample664, -24183.0, 7026144.768
sample665, -29244.2, 6325215.744
sample666, -22775.0, 6339521.536
sample667, 16608.1, 6835584.512
sample668, -20762.6, 9857938.432
sample669, -21792.8, 9190588.416
sample670, -10931.7, 2506576.128
sample671, 24637.4, 9929906.176
sample672, 24947.3, 7689486.848
sample673, -20746.9, 7091400.192
sample674, 12759.5, 3794088.448
sample675, -22422.7, 9054967.808
sample676, 10156.3, 2168320.768
sample677, -19065.0, 10779207.68
sample678, 14103.7, 8419899.392
sample679, 21823.1, 10129468.416
sample680, 26218.8, 11036866.56
sample681, 19698.7, 10011652.096
sample682, 20721.0, 7615527.936
sample683, 22399.5, 7065757.184
sample684, 26955.6, 5579288.576
sample685, 17378.3, 10353830.912
sample686, -16348.7, 9431006.208
sample687, 11024.7, 2514134.784
sample688, -32196.4, 3322601.984
sample689, 28598.5, 7921608.192
sample690, 21448.1, 10508078.08
sample691, -20811.1, 6451220.992
sample692, 34967.5, 5067366.912
sample693, -32619.4, 6786124.8
sample694, -18303.6, 10075363.328
sample695, -28415.0, 9043129.344
sample696, -35084.7, 4172215.808
sample697, 14666.1, 8487999.488
sample698, -23510.2, 8861414.4
sample699, 30710.5, 8057113.6
sample700, -33612.4, 4045097.216
sample701, -10458.4, 2382818.816
sample702, 15771.2, 3764697.856
sample703, 29888.6, 6556446.208
sample704, 19540.1, 10677699.584
sample705, 32053.7, 3373311.488
sample706, 19135.6, 8202185.216
sample707, -11549.2, 3365437.696
sample708, -14161.7, 7250694.144
sample709, -15062.9, 7176620.544
sample710, -21139.5, 6942619.136
sample711, -29011.9, 8700517.376
sample712, -15670.5, 10159838.208
sample713, 14629.9, 6433219.072
sample714, 24890.0, 9698975.744
sample715, -20108.2, 9234202.624
sample716, 12820.2, 5275141.632
sample717, 11906.3, 4003341.824
sample718, -28516.0, 10387265.536
sample719, 21790.6, 8249910.272
sample720, 20588.4, 11705910.272
sample721, 31932.4, 2955879.168
sample722, 14903.1, 2291660.032
sample723, 14203.5, 2108541.44
sample724, -25540.5, 9873472.512
sample725, 24832.8, 10534183.936
sample726, -34809.4, 4121286.912
sample727, -24273.3, 3478377.216
sample728, -16916.3, 9786494.976
sample729, 29366.0, 6483827.712
sample730, -23625.0, 9492208.64
sample731, 23858.7, 3157091.584
sample732, 23347.1, 6626494.464
sample733, -16543.1, 11775209.472
sample734, -23225.8, 5409842.176
sample735, 35856.9, 4372376.576
sample736, -31872.5, 7918009.344
sample737, 19670.8, 9831700.48
sample738, 18092.5, 11251164.16
sample739, -14482.7, 7167417.856
sample740, 34513.9, 7063832.576
sample741, 17015.0, 6607392.256
sample742, 21561.1, 8796861.44
sample743, -23478.9, 4192903.936
sample744, -12422.7, 5104623.104
sample745, -13246.1, 3943855.104
sample746, -21094.1, 12384611.328
sample747, 25373.7, 8649562.112
sample748, -26861.5, 6177741.312
sample749, -31151.2, 6469193.728
sample750, -24771.2, 3934243.072
sample751, -13030.0, 6091724.288
sample752, 32918.2, 6134358.016
sample753, -35019.7, 4410478.08
sample754, -21871.8, 11521233.92
sample755, 19185.0, 7175053.312
sample756, 15265.1, 5104356.352
sample757, -13637.9, 3904658.688
sample758, -21986.0, 11935997.952
sample759, 32796.7, 4273320.96
sample760, -17104.1, 3563874.816
sample761, 11032.8, 2783419.904
sample762, 33867.2, 7572851.2
sample763, -21352.1, 9765706.752
sample764, -32912.3, 3198561.792
sample765, -25320.7, 10409280.512
sample766, -31842.1, 8630137.856
sample767, -27292.9, 10117294.08
sample768, 13758.1, 6769923.584
sample769, -21573.4, 7017052.672
sample770, 22221.3, 11843375.104
sample771, -24336.9, 9016113.152
sample772, 33957.2, 4034908.416
sample773, -24368.6, 5106969.088
sample774, 18597.3, 8825448.448
sample775, -26164.1, 9598003.2
sample776, 33405.4, 7488808.448
sample777, 20764.4, 6711548.928
sample778, 22212.7, 9053048.832
sample779, -22800.3, 8477783.552
sample780, -17363.3, 3591421.696
sample781, -30998.2, 7103892.48
sample782, -36610.7, 4875067.904
sample783, 22453.5, 3713656.064
sample784, 16197.0, 10347731.968
sample785, 34926.0, 5037337.6
sample786, -28254.8, 1806748.672
sample787, 21827.4, 1709682.944
sample788, 28334.9, 7609603.584
sample789, -18032.9, 8563282.432
sample790, 14819.6, 7796708.352
sample791, 22721.1, 4361955.84
sample792, 22237.2, 8970297.344
sample793, -16274.0, 5655500.288
sample794, -24019.0, 3293726.72
sample795, 21851.1, 6608470.528
sample796, -20552.1, 9357414.4
sample797, 24577.4, 7303526.912
sample798, 17031.2, 9976177.664
sample799, -20160.6, 9875755.008
sample800, 32175.4, 3541920.768
sample801, 19074.0, 6930906.112
sample802, -13931.6, 5717434.368
sample803, -18709.2, 10255443.968
sample804, -19455.4, 9270752.256
sample805, -24933.1, 10733425.664
sample806, 20349.1, 9041901.568
sample807, 12031.6, 3009727.232
sample808, -15878.0, 8360970.24
sample809, 15228.3, 5156279.296
sample810, -24861.0, 6623153.664
sample811, -32655.3, 5290212.864
sample812, 17475.0, 7986914.304
sample813, 35802.1, 6675460.096
sample814, -26627.8, 6705943.552
sample815, 32591.7, 3850557.184
sample816, 30009.8, 2272474.368
sample817, 21243.9, 11618553.856
sample818, -21611.5, 7356671.488
sample819, 19838.7, 10021306.368
sample820, 14217.9, 1820436.096
sample821, -13852.2, 6884816.896
