Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
-26.528,10.759,0.427,-76.430,-8.888,-86.924,1.748,-26.272,265.679,185.557
-30.583,37.762,1.104,37.368,-25.962,-20.659,0.915,14.672,231.113,263.619
-40.707,54.611,1.655,-58.853,118.895,71.401,1.877,-85.396,283.528,56.710
89.764,58.214,0.118,-51.948,-134.551,60.500,1.706,84.246,324.342,66.471
44.633,63.434,1.019,-44.063,11.315,-27.453,1.341,-7.354,260.309,306.862
109.113,-22.873,1.124,-64.836,-136.305,69.787,0.488,-38.950,224.340,161.686
-59.005,31.711,0.565,-8.262,183.715,-67.764,0.648,64.094,256.645,276.497
79.575,60.100,1.348,64.184,8.807,44.658,1.608,-17.191,259.699,225.126
-7.045,-28.636,1.806,17.678,-167.940,-43.222,0.003,85.196,251.253,242.288
113.514,-1.582,0.259,44.540,28.274,58.848,1.257,-44.367,205.213,64.157
-88.273,-55.698,0.485,11.699,-51.410,-56.461,0.635,-29.083,265.645,351.429
-25.810,70.031,1.245,-39.479,-101.957,-4.580,0.249,69.129,333.649,101.214
-147.358,82.697,0.480,-49.508,13.444,6.290,1.214,0.773,255.079,334.814
-125.691,-38.599,1.258,69.326,61.371,84.302,0.571,5.467,283.304,283.841
1.857,17.259,0.049,83.781,-159.957,14.576,1.550,89.553,160.299,40.061
52.237,68.148,1.780,-63.928,19.009,-88.775,1.365,35.865,232.254,103.444
-76.773,-0.866,0.508,1.436,9.183,13.871,0.256,38.600,287.084,277.166
-29.802,-24.686,0.987,-29.733,59.031,-61.718,0.501,-11.603,244.646,371.962
22.859,-50.451,0.947,-9.032,48.944,-11.049,0.960,43.589,293.830,289.283
31.723,47.222,0.090,-5.438,-9.106,39.618,1.056,57.924,281.393,290.600
20.994,21.137,1.044,18.444,-11.443,-73.871,1.193,-50.768,322.366,212.393
51.360,-76.447,1.615,79.926,37.268,-50.509,0.384,53.793,238.851,55.062
180.930,-43.211,0.323,86.048,-13.750,87.052,1.467,-43.253,247.883,103.047
-57.794,-36.575,0.692,-29.318,33.768,10.458,0.994,34.957,216.094,161.533
18.142,-9.930,1.786,47.159,6.979,-74.809,1.685,-0.156,270.445,306.158
-34.283,-56.439,0.875,-25.962,-19.355,33.531,1.236,29.371,226.039,203.301
-53.294,39.089,1.828,81.781,9.968,-23.003,1.494,16.078,221.922,246.931
51.474,52.202,0.630,9.040,61.416,-34.391,0.465,-80.207,213.574,284.130
25.074,86.708,1.194,35.841,127.150,0.373,0.028,-8.655,260.445,342.911
135.861,78.347,1.580,73.731,15.029,56.168,1.227,17.375,253.099,235.924
-126.986,12.526,0.183,-5.852,83.982,-41.052,0.411,-67.623,279.807,259.447
-0.348,-61.721,0.552,27.303,-68.871,-17.791,0.769,-87.865,330.137,191.432
-29.535,-65.749,1.564,52.759,114.701,-77.654,1.915,-74.640,282.538,61.122
92.797,77.193,0.397,13.460,48.572,8.960,1.926,65.175,260.650,284.832
-38.433,-22.239,0.756,-16.156,-17.249,-69.424,1.171,-19.603,200.281,347.634
171.281,63.050,0.978,-69.726,20.840,-1.629,1.944,-67.450,248.530,43.251
-31.412,-86.576,1.149,58.038,141.677,-72.356,0.306,-64.192,226.649,43.796
16.904,-66.289,0.147,-77.983,-49.150,-64.974,1.097,-49.696,239.462,68.455
-153.260,-13.219,0.365,-10.322,42.129,21.833,1.310,52.281,261.668,164.198
25.385,-73.825,1.295,65.383,-12.483,59.690,1.416,22.901,259.286,193.277
-108.098,79.400,0.385,88.290,-66.862,7.281,0.200,-57.028,247.059,52.287
6.443,-54.264,1.948,21.445,39.322,64.706,1.478,-88.708,281.324,224.506
-11.238,60.594,0.232,56.574,9.592,34.668,1.962,-36.222,217.641,98.698
-167.510,8.264,0.277,45.980,26.398,73.469,0.205,-59.117,282.313,84.115
-32.616,-14.946,0.904,26.345,22.130,-24.467,1.844,61.990,328.712,155.902
14.919,-81.457,1.163,6.437,-93.484,78.242,0.891,-86.149,197.753,280.484
-85.249,66.827,0.031,20.479,-118.796,-47.861,0.096,47.552,314.860,216.383
130.762,84.841,1.279,-78.838,88.434,27.797,0.746,-83.560,182.324,40.044
33.081,28.915,1.546,-53.575,-22.623,-53.717,1.541,55.507,214.449,50.129
-91.779,35.186,1.691,70.356,-13.029,25.266,1.570,31.483,248.119,144.142
140.512,19.401,1.603,80.183,39.598,-26.294,0.827,27.368,233.357,180.663
83.204,-46.739,0.530,-33.296,-28.458,-46.289,0.942,24.099,228.762,230.676
-110.588,3.439,0.303,43.287,10.173,57.399,1.868,-33.901,208.951,118.374
76.409,26.947,0.043,-81.751,-45.857,-82.595,1.761,-61.960,238.751,48.589
-45.833,-42.048,1.399,-74.174,-145.168,84.668,0.534,-54.576,238.695,83.608
-36.650,-59.282,0.779,16.802,7.211,51.898,1.702,10.471,182.085,443.610
5.476,73.815,1.903,-0.932,-62.690,2.539,0.604,19.715,193.954,419.511
5.935,32.430,1.832,3.092,11.160,16.821,0.668,-4.042,171.120,535.513
30.406,-47.892,0.922,32.872,64.014,-3.887,0.517,29.808,208.382,149.988
16.173,84.069,1.721,-42.570,41.427,5.611,1.516,56.535,226.034,69.014
177.767,89.234,1.136,-72.615,8.036,-39.642,1.617,11.356,253.695,264.498
94.803,75.227,1.436,-68.102,-199.306,-21.649,0.888,-82.612,224.211,43.661
45.960,-17.901,0.239,-88.995,-20.459,-11.348,1.840,50.585,246.233,69.710
-157.383,5.970,1.443,-75.686,33.873,79.311,1.430,51.571,224.283,67.375
174.698,-57.759,0.211,60.585,108.081,-38.018,1.800,86.916,271.277,45.139
29.093,-88.290,1.737,55.014,-69.352,28.262,0.705,-37.818,222.342,116.972
3.840,8.705,1.525,53.907,-24.888,50.142,1.122,-32.047,213.226,115.560
40.212,-62.417,1.208,-67.381,102.369,-56.221,0.170,-77.938,259.622,41.960
71.013,-39.682,0.729,40.505,80.885,17.366,0.696,42.068,202.131,102.644
-6.984,45.115,1.762,14.144,33.494,-83.959,0.806,-15.232,211.444,422.830
35.721,15.928,1.679,-57.390,95.067,43.451,0.874,88.171,295.034,54.563
-9.117,48.953,0.656,-52.407,-0.481,-5.679,0.734,-29.540,224.369,141.403
-6.250,-16.083,1.911,-17.639,-10.691,-64.344,1.984,-39.495,301.822,248.153
14.644,-75.060,0.816,-38.799,-6.475,-7.398,1.976,-23.040,223.053,201.011
80.179,22.602,1.989,-71.462,147.536,-79.891,0.061,-13.807,255.682,268.082
-187.472,-79.582,1.504,-86.909,-81.428,-52.449,1.080,-58.906,231.649,54.952
-93.730,43.080,0.407,89.492,-88.079,18.318,0.392,66.725,226.694,43.520
144.407,-19.848,0.795,-61.151,-10.832,37.245,1.359,-4.502,282.647,292.729
-6.006,-89.231,1.867,10.980,-42.663,-81.360,0.428,-6.332,223.247,478.140
-39.396,-84.398,0.063,-34.531,-18.326,75.034,1.067,-10.980,239.234,300.602
-4.929,-34.188,0.665,66.522,-61.358,76.439,1.379,70.884,247.661,40.472
166.835,57.009,0.015,-59.330,-46.346,-67.368,0.678,13.824,270.187,247.825
8.075,55.108,0.336,49.697,-5.615,-29.885,1.583,26.327,226.566,163.961
-49.701,-3.999,0.687,-20.862,2.231,67.520,0.357,19.685,246.529,359.834
19.166,81.101,1.369,-35.396,143.912,-43.861,1.513,73.820,362.584,116.705
-29.189,-71.450,1.068,34.602,18.053,-14.564,0.481,-55.672,271.904,105.089
127.127,13.324,0.704,72.141,-29.245,53.918,0.294,6.117,255.255,283.561
-15.661,-11.588,1.219,-19.210,135.219,-31.234,0.072,-46.095,299.912,203.871
-23.523,5.157,1.048,-24.452,66.481,47.243,0.594,21.510,229.636,333.634
36.637,14.572,0.354,48.788,-165.618,64.238,0.784,-65.828,210.442,56.657
9.309,50.275,1.462,-2.788,-34.983,-37.041,1.318,49.156,279.485,304.392
-142.142,88.567,0.103,31.926,18.968,72.011,1.629,44.317,230.079,116.839
-50.208,-63.839,0.615,0.858,-172.813,-19.669,0.266,-48.151,283.559,272.782
100.903,-46.350,0.128,-12.761,71.139,-46.826,0.326,7.331,229.466,475.218
-132.589,-30.810,1.475,-88.585,-58.955,38.055,0.125,2.298,182.471,294.408
81.195,-50.870,1.092,-62.202,-87.313,-16.650,1.822,80.883,277.718,50.477
21.259,59.758,1.417,40.438,-181.395,-25.484,0.385,-64.238,328.475,99.563
-93.479,-86.922,0.412,-57.002,-100.497,-77.694,0.289,-0.491,281.010,264.532
-39.085,84.600,1.922,-62.119,68.968,19.651,1.713,66.930,228.367,46.225
9.361,52.945,1.539,-15.849,-62.472,67.965,0.130,-49.474,296.022,230.985
-187.912,-48.328,1.343,-85.979,39.171,-40.615,1.175,47.314,248.664,76.362
-20.812,-3.348,1.293,34.587,-120.906,33.820,0.013,-25.881,226.263,199.729
-106.507,-55.828,0.806,-55.305,192.171,-16.388,1.344,-84.833,283.091,63.497
-29.530,83.042,0.844,-26.698,-144.822,60.204,0.330,-71.583,298.309,180.952
50.607,-67.593,1.709,-84.340,-9.316,84.842,1.923,34.375,258.785,142.588
167.608,-65.326,0.198,-41.933,9.179,45.115,1.470,0.200,255.743,353.241
180.819,7.006,0.123,78.427,19.424,-65.835,1.066,-15.462,239.953,249.176
-80.945,47.209,1.108,-77.638,9.671,-19.426,1.861,33.531,259.081,146.205
-103.333,-35.788,0.730,87.431,10.310,30.282,0.242,41.887,248.639,103.980
30.458,66.521,0.927,25.395,-37.136,0.530,0.110,22.159,239.004,308.273
-16.991,-15.798,1.129,14.288,37.822,-29.236,0.820,24.446,222.294,372.136
-70.039,-30.241,0.253,-32.743,-10.159,10.103,1.536,-19.772,226.527,228.431
73.241,-8.821,1.210,60.373,100.125,23.128,0.995,-60.449,229.403,56.309
-33.903,-56.537,0.958,32.682,63.760,-36.475,0.798,71.217,326.222,131.635
-26.684,-44.391,1.459,47.457,124.814,-7.696,1.952,84.231,322.910,85.912
45.882,44.245,1.037,-45.351,110.006,55.133,1.429,-81.459,320.022,86.718
59.818,-18.985,0.588,10.657,-4.558,67.239,0.439,-33.831,269.151,272.095
-1.192,4.843,0.673,-8.906,-69.849,82.696,0.926,-50.828,276.889,293.908
14.429,68.198,1.589,-35.720,-71.761,-80.934,0.603,-28.559,212.243,121.321
89.571,20.332,0.470,0.476,-91.252,-60.380,0.679,58.275,292.029,256.535
-7.480,-83.159,1.630,-2.407,6.375,44.156,1.783,6.686,177.535,530.220
145.984,14.645,0.510,-69.765,-12.939,-72.234,1.303,51.696,221.527,58.533
10.568,-76.304,1.938,55.701,-28.916,-85.102,1.224,-41.751,206.524,68.865
115.761,38.963,0.061,62.206,19.329,-49.565,0.501,-74.596,278.214,43.086
7.483,78.434,1.798,-20.459,-197.225,-1.058,1.566,85.621,276.544,226.172
-122.835,23.118,0.174,71.969,-7.543,12.624,1.646,-8.066,280.887,280.667
-13.520,-25.298,1.823,84.269,37.911,-55.439,0.749,13.230,195.009,245.535
137.245,32.871,0.362,21.194,29.569,78.554,1.023,77.395,236.854,210.746
