Model, Buckling, Stiffness 
sample224, 28392.1, 3813565.184
sample225, 22620.8, 7387089.408
sample226, 19572.2, 2867848.448
sample227, -14567.2, 3964115.2
sample228, 16997.1, 3894752.256
sample229, -17955.3, 3237981.696
sample230, 24099.7, 7241308.672
sample231, 13807.1, 3837247.488
sample232, -20129.3, 6097779.712
sample233, -18281.0, 4421681.152
sample234, 22013.0, 3687595.52
sample235, -24853.6, 6269158.912
sample236, -15158.2, 6384991.232
sample237, 23356.9, 7488108.032
sample238, 18978.3, 3242241.792
sample239, 19568.0, 8570391.552
sample240, -21455.3, 5600640.512
sample241, 19098.1, 3014336.768
sample242, 20880.3, 5235654.144
sample243, -26152.2, 6424332.288
sample244, -15423.9, 6235346.432
sample245, -17547.6, 3151729.664
sample246, 14848.9, 4254804.224
sample247, -16509.3, 7355429.376
sample248, -17398.3, 8151727.104
sample249, 32056.3, 6913421.312
sample250, 31924.4, 6214558.208
sample251, -32039.3, 5334457.344
sample252, 17400.5, 3386573.824
sample253, -17905.8, 3761245.696
sample254, 13947.9, 5395804.16
sample255, -25242.6, 9077122.048
sample256, -18362.7, 7536285.696
sample257, -17208.7, 11221145.6
sample258, -20878.7, 4897425.408
sample259, -16726.7, 5240283.136
sample260, 15507.2, 5952622.08
sample261, 21170.2, 5653284.864
sample262, -14423.4, 4097132.544
sample263, 17766.7, 4317467.136
sample264, -23071.9, 8360059.904
sample265, -32542.6, 7178924.032
sample266, 24119.8, 2954960.64
sample267, -29269.3, 4278457.344
sample268, 18754.9, 5346490.88
sample269, -14756.2, 6865224.704
sample270, 19682.7, 8970357.76
sample271, -25028.1, 5916280.32
sample272, -16272.9, 5237930.496
sample273, 20650.7, 3766250.24
sample274, -18725.1, 5603345.408
sample275, -32251.5, 7400274.944
sample276, -13806.7, 2695663.616
sample277, 29927.5, 3439434.24
sample278, -22710.5, 2573697.792
sample279, -15560.8, 7124459.008
sample280, 18851.9, 5137511.424
sample281, 17438.8, 7021123.584
sample282, -31407.7, 6938763.776
sample283, -27950.8, 4046106.368
sample284, -17043.2, 4443802.112
sample285, 20509.7, 6587241.984
sample286, 21645.5, 5113068.544
sample287, -26224.0, 4395035.136
sample288, 29777.6, 2440204.544
sample289, -16828.0, 2890830.336
sample290, 17797.2, 3327845.888
sample291, 21060.2, 5046561.28
sample292, -27295.5, 4962373.12
sample293, -29946.7, 6565261.312
sample294, 24293.2, 3112562.176
sample295, 17356.1, 7178509.312
sample296, 18209.4, 4712517.632
sample297, -30374.6, 4359151.616
sample298, 17713.4, 5075091.456
sample299, -11696.4, 4017356.544
sample300, 17338.2, 7134286.848
sample301, -23272.3, 5894663.168
sample302, 26302.4, 4428116.992
sample303, 23720.8, 5540717.568
sample304, 30048.1, 7698565.12
sample305, 20667.0, 3629134.848
sample306, 14521.0, 6803752.448
sample307, 19710.4, 5539349.504
sample308, -17654.9, 7036559.36
sample309, 20782.6, 4874190.848
sample310, -22063.7, 6696451.584
sample311, 26217.1, 4216840.704
sample312, -24946.4, 4516822.016
sample313, -23220.2, 8593127.424
sample314, 26748.1, 2773462.784
sample315, 20049.4, 7148295.168
sample316, -26234.1, 3679973.888
sample317, 24554.9, 3948527.104
sample318, 20383.6, 3180139.264
sample319, 14049.9, 3602603.52
sample320, 14283.4, 5622974.976
sample321, 18725.1, 8218249.728
sample322, -21736.7, 3859522.816
sample323, 21093.7, 5850902.016
sample324, 19538.1, 7865445.376
sample325, -17055.6, 3509192.192
sample326, -21458.0, 5375681.024
sample327, 22350.5, 4962875.904
sample328, 29629.0, 3585385.472
sample329, 25865.6, 3039854.336
sample330, 19730.5, 5749102.08
sample331, -19217.2, 2016062.08
sample332, 19790.2, 3246985.984
sample333, -11958.8, 2832524.544
sample334, 32796.9, 6509680.64
sample335, -18083.4, 7220539.392
sample336, -19142.9, 2216132.864
sample337, 20962.2, 7408025.088
sample338, -31244.2, 7858786.304
sample339, 20054.8, 6781724.16
sample340, 28799.2, 3058558.464
sample341, 21188.2, 5437681.664
sample342, 13565.4, 3735256.064
sample343, 27550.9, 6601238.016
sample344, -15697.8, 4039876.352
sample345, -22187.2, 4612215.296
sample346, -30849.3, 5624595.968
sample347, 19837.0, 8243248.128
sample348, -19531.2, 5860908.544
sample349, 14994.1, 8414715.904
sample350, -25891.2, 6262973.44
sample351, 18234.4, 4801412.096
sample352, 28391.9, 4080564.736
sample353, -18987.0, 5742451.2
sample354, -26315.0, 6654861.824
sample355, -17194.4, 5372513.28
sample356, -27009.8, 1844060.544
sample357, 24154.2, 6581659.136
sample358, 18471.2, 7673405.952
sample359, -23376.2, 3945239.04
sample360, -16619.5, 2633897.472
sample361, -18455.7, 4800689.664
sample362, 19286.9, 2813400.064
sample363, 23355.0, 5391704.576
sample364, 15802.7, 4102640.896
sample365, 20008.3, 3431619.072
sample366, -19027.1, 2825100.8
sample367, 23137.7, 4749185.024
sample368, 33375.9, 4158720.0
sample369, 27798.0, 5449314.816
sample370, -17941.8, 2839510.016
sample371, 15205.7, 4279419.904
sample372, -25351.0, 2819759.616
sample373, 12211.2, 3654762.496
sample374, -14498.1, 3094611.2
sample375, -16852.1, 2524423.68
sample376, 20586.1, 3206101.248
sample377, -21252.5, 8311485.44
sample378, 21229.0, 6332864.512
sample379, -27526.3, 6738484.736
sample380, 13753.2, 3365486.336
sample381, 29858.0, 3848046.08
sample382, -25582.8, 2379943.168
sample383, -14934.0, 6055348.224
sample384, 27797.5, 2957551.872
sample385, -15857.7, 7439461.888
sample386, 27090.0, 6770084.864
sample387, 19049.8, 4779195.904
sample388, -13299.7, 2416592.64
sample389, -34325.8, 6063446.016
sample390, -14896.1, 8353011.712
sample391, -35782.3, 7232693.248
sample392, -30827.8, 4468067.328
sample393, 22580.3, 4672391.68
sample394, -18826.2, 6832586.752
sample395, -18557.1, 6536637.952
sample396, -20900.6, 5450848.256
sample397, -24479.9, 7515462.144
sample398, -15137.4, 8167140.352
sample399, 16895.2, 3313553.92
sample400, -17049.6, 5308288.512
sample401, 19727.7, 4066415.872
sample402, -20741.9, 5933955.584
sample403, -34061.1, 4945883.136
sample404, 20025.6, 6266841.088
sample405, 23775.8, 8411277.824
sample406, -29806.8, 7954368.512
sample407, 30888.9, 3195947.008
sample408, -17896.0, 5192759.808
sample409, 30371.3, 3639936.256
sample410, 19634.1, 9339532.288
sample411, 14739.4, 3464939.008
sample412, 26300.7, 4032849.152
sample413, 20071.3, 3488255.744
sample414, 22697.6, 8708161.536
sample415, -20992.7, 6225414.144
sample416, 19633.9, 7922866.688
sample417, 28743.3, 3497936.64
sample418, 26127.9, 5079340.544
sample419, -21277.0, 2865196.8
sample420, -24317.0, 3079576.832
sample421, -20033.2, 3124995.072
sample422, -25013.1, 6413697.536
sample423, 15996.9, 3060097.024
sample424, 18148.4, 4382903.808
sample425, 19506.3, 7339046.4
sample426, -14233.5, 6135287.808
sample427, -32920.2, 6127863.808
sample428, 21064.2, 4298501.632
sample429, 17399.0, 4472352.768
sample430, -17290.8, 9423552.512
sample431, -16653.4, 4377307.648
sample432, -16062.7, 8209845.76
sample433, 22667.1, 6224771.584
sample434, 16940.4, 3009997.824
sample435, 24488.3, 3654907.648
sample436, -19873.3, 7852474.368
sample437, -19440.4, 3634629.12
sample438, 26412.8, 3103917.312
sample439, 17396.5, 3200294.656
sample440, -17988.3, 4308360.192
sample441, 15158.5, 3647897.6
sample442, 13479.1, 3098356.992
sample443, -14816.5, 3092346.112
sample444, -19716.6, 5799495.168
sample445, -22310.5, 3554844.928
sample446, 19024.2, 6430169.088
sample447, 22195.3, 4423206.4
sample448, -23681.8, 1904517.888
sample449, -22401.8, 5043582.464
sample450, -21560.5, 7036305.408
sample451, -25193.9, 6108178.944
sample452, 25098.0, 4017327.36
sample453, 18613.5, 5462094.848
sample454, -20644.5, 5159790.08
sample455, -24634.6, 2870146.816
sample456, 31150.5, 5897445.888
sample457, -21674.7, 3316097.792
sample458, 22722.4, 6982677.504
sample459, 15162.1, 7486184.448
sample460, -26228.3, 7052590.08
sample461, -26777.4, 2902270.72
sample462, 29225.4, 5395440.64
sample463, -33213.0, 5598081.024
sample464, -26474.3, 8406326.272
sample465, 28262.7, 3608897.792
sample466, 20178.7, 2687011.84
sample467, 20908.0, 6113398.272
sample468, 15107.0, 6723478.528
sample469, 24372.6, 3755966.464
sample470, 20084.4, 7408792.576
sample471, -17356.5, 3286162.688
sample472, 24465.6, 3390173.952
sample473, 30003.2, 9327156.224
sample474, -16530.1, 8222521.344
sample475, -21858.2, 5522994.688
sample476, -27423.4, 3023453.952
sample477, 15451.5, 7663100.928
sample478, -20014.6, 3362634.24
sample479, 19876.9, 3469360.128
sample480, 29249.9, 4083742.72
sample481, -24219.2, 3487417.856
sample482, -16579.4, 4762301.44
sample483, -13828.2, 4305936.896
sample484, 19913.5, 3181320.192
sample485, 24313.3, 6983246.848
sample486, -31976.4, 4439121.92
sample487, -15108.8, 3236896.512
sample488, 19824.8, 3101569.792
sample489, -21101.5, 9681025.024
sample490, 30914.2, 5698458.624
sample491, -15402.4, 4464101.376
sample492, -19247.0, 7636519.936
sample493, -21228.9, 6416539.136
sample494, 14471.1, 7609885.696
sample495, -18472.1, 3588763.648
sample496, -17625.7, 3445863.936
sample497, -22221.4, 5698438.656
sample498, -21910.5, 7870105.088
sample499, 24388.6, 3919047.936
sample500, 17316.2, 6487143.424
sample501, 21314.2, 5951578.112
sample502, 26287.4, 5698001.92
sample503, 20225.8, 2843889.152
sample504, 20656.5, 3214537.472
sample505, -23575.9, 2875441.92
sample506, 15069.9, 4407785.472
sample507, -13327.3, 3071501.568
sample508, -11280.2, 3040513.536
sample509, 19375.7, 5685635.072
sample510, -16476.8, 9096995.84
sample511, -18210.5, 4448208.384
sample512, 20821.6, 5487557.12
sample513, 19556.1, 6003911.168
sample514, -25481.2, 4226478.592
sample515, -15112.3, 7990020.096
sample516, -14559.2, 5745608.704
sample517, -23654.9, 2786542.336
sample518, -16389.9, 4951381.504
sample519, -15151.0, 7705206.272
sample520, -21672.2, 2967287.808
sample521, -15775.5, 3818863.872
sample522, 13307.9, 5912243.2
sample523, -19588.8, 6805105.152
sample524, 17165.1, 6249351.168
sample525, 21500.0, 8158571.52
sample526, -20243.3, 4584487.936
sample527, -18869.5, 6571287.04
sample528, 26123.5, 5576562.176
sample529, -19169.9, 4943514.624
sample530, 17533.5, 8000354.304
sample531, 23160.0, 3049103.616
sample532, 21114.1, 7360649.728
sample533, 27022.6, 4642477.568
sample534, 19071.9, 6290988.032
sample535, 23964.2, 3096707.84
sample536, 27090.0, 4591437.312
sample537, -18883.5, 5240690.176
sample538, 16941.5, 4065357.312
sample539, 20337.7, 2925995.264
sample540, -25462.7, 6107713.024
sample541, -29720.2, 4439797.248
sample542, 21406.2, 4037336.32
sample543, -20742.7, 9138839.552
sample544, 22651.9, 3683934.976
sample545, -16420.5, 6283621.376
sample546, -17093.5, 6912359.936
sample547, 22716.0, 6727115.776
sample548, 28858.2, 5792952.32
sample549, -22835.8, 5369864.704
sample550, 21636.0, 5382243.328
sample551, -21022.1, 8098406.912
sample552, -28659.2, 4999860.224
sample553, 25038.4, 7094461.952
sample554, -30194.0, 4149728.256
sample555, -19400.0, 3362726.656
sample556, -24328.7, 7965836.288
sample557, 20755.9, 7998733.312
sample558, 19703.6, 4936900.608
sample559, 24077.2, 4293295.104
sample560, -20733.7, 8945084.416
